Id,Designator,Package,Quantity,Designation,Manufacturer,Part Number,Alternate Part Number
,BT1,JST_SH_SM02B-SRSS-TB_02x1.00mm_Angled,1,Battery,JST,SM02B-SRSS-TB(LF)(SN),
,"C3,C5,C11",C_0402,3,10uF,Murata,GRM155R60G106ME44J,
,"C7,C1,C10,C15,C16",C_0402,5,0.1uF,Yaego,CC0402KRX5R6BB104,
,"C8,C2,C4,C6,C9,C12,C13,C14",C_0402,8,1uF,Taiyo,JMK105C6105MV-F,
,D1,CLMVB-FKA-CFHEHLCBB7a363,1,Led_RGB_CA,Broadcom,ASMB-KTF0-0A306,CLMVB-FKA-CFHEHLCBB7A363
,D2,C_0603,1,D_Schottky,Comchip,CDBU00340,
,D3,0606_Bi-Color,1,Dialight_R_G_LED,Everlight,18-225SURSYGC/S530-A4/E4/TR8,
,P1,1x8_SMT_F,1,CONN_01X08,Harwin,M50-3140845,
,P2,10118193_microUSB,1,USB_OTG,Amphenol,10118193-0001LF,
,"R1,R2,R14",C_0402,3,10K,Vishay,CRCW040210K0JNEDC,
,"R13,R15",C_0402,2,470R,Yaego,RC0402JR-13470RL,
,"R5,R12,R17",C_0402,3,100R,Yaego,RC0402FR-07100RL,
,"R7,R8",C_0402,2,1M,Yaego,RC0402FR-071ML,
,"S3,S4,S4,S3,S3,S4,S1,S2",C_1206,8,Watch Pin,Stackpole,HCJ1206ZT0R00,
,U1,RFD77101,1,rfd_77101,RFDigital,RFD77101,
,U2,MAX3010x,1,MAX301_Series,Maxim,MAX30101EFD+,
,U3,MLF-4 1mm x 1mm,1,MIC5365,Microchip,MIC5365-1.8YMT-TZ,
,U6,MLF-4 1mm x 1mm,1,MIC5365,Microchip,MIC5365-3.0YMT-TZ,
,U4,LGA_2.5x3,1,BMI160,Bosch,BMI160,
,U5,SOT-23-5,1,MCP73831,Microchip,MCP73831T-2ATI/OT,
,U7,X2SON8_1.4mm_x_1mm,1,TXS0102_LEVEL_SHIFTER_X2SON8,Texas Instruments,TXS0102DQER,
,U8,SOT-323_SC-70,1,MAX809,On Semi,MAX809SQ308T1G,
